City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,rocha,-34.4833,-54.3333,20.9,85,100,5.03,UY,1705411466
212,santa terezinha,-29.9002,-50.0904,26.64,72,9,4.2,BR,1705411592
213,sheksna,59.21,38.5107,-2.02,93,100,5.15,RU,1705411594
214,kayangel,8.0823,134.7173,27.98,79,100,10.3,PW,1705411595
215,udachny,66.4167,112.4,-34.2,73,100,2.36,RU,1705411597
216,mar del plata,-38.0023,-57.5575,21.08,78,75,5.66,AR,1705411457
217,la ronge,55.1001,-105.2842,-21.86,64,100,9.26,CA,1705411600
218,nyurba,63.2842,118.3319,-21.02,90,100,4.74,RU,1705411601
219,aasiaat,68.7098,-52.8699,-16.61,94,72,2.9,GL,1705411603
220,tamanrasset,22.785,5.5228,24.95,4,0,1.54,DZ,1705411604
221,biltine,14.5333,20.9167,29.65,8,86,3.96,TD,1705411574
222,keflavik,64.0049,-22.5624,-5.76,63,75,11.32,IS,1705411607
223,el calafate,-50.3408,-72.2768,10.15,60,100,2.78,AR,1705411609
224,chibougamau,49.9168,-74.3659,-12.21,85,100,4.12,CA,1705411610
225,turan,16.0678,108.2208,23.99,78,20,2.06,VN,1705411517
226,chernyshkovskiy,48.4219,42.2308,2.23,76,100,9.31,RU,1705411613
227,port-vila,-17.7338,168.3219,24.78,100,40,0.51,VU,1705411614
228,cidreira,-30.1811,-50.2056,26.82,70,65,4.78,BR,1705411616
229,mana,5.6592,-53.7767,28.52,66,20,5.03,GF,1705411617
230,buka,40.8108,69.1986,1.77,96,99,0.72,UZ,1705411619
231,sao gabriel da cachoeira,-0.1303,-67.0892,26.89,89,0,4.12,BR,1705411620
232,usinsk,65.9939,57.5281,-15.3,96,100,4.71,RU,1705411622
233,mahina,-17.5065,-149.489,26.87,74,75,1.03,PF,1705411623
234,cabo san lucas,22.8909,-109.9124,18.06,82,20,3.6,MX,1705411357
235,mozarlandia,-14.7447,-50.5706,29.12,66,20,1.59,BR,1705411628
236,waddan,29.1614,16.139,23.38,12,0,5.94,LY,1705411629
237,sitka,57.0531,-135.33,1.94,80,20,0.0,US,1705411630
238,rio grande,-32.035,-52.0986,27.06,74,96,3.63,BR,1705411409
239,khanty-mansiysk,61.0042,69.0019,-18.94,78,20,3.0,RU,1705411633
240,coquimbo,-29.9533,-71.3436,15.85,88,100,4.63,CL,1705411635
241,anloga,5.7947,0.8973,29.85,65,8,4.48,GH,1705411636
242,plastun,44.7561,136.2939,-12.21,72,6,2.63,RU,1705411638
243,turkmenbasy,40.0222,52.9552,6.43,87,0,8.23,TM,1705411639
244,chegdomyn,51.1167,133.0167,-21.22,98,100,0.56,RU,1705411641
245,tsiombe,-25.3,45.4833,29.13,63,88,5.94,MG,1705411642
246,petropavlovsk-kamchatsky,53.0452,158.6483,-8.67,85,100,5.0,RU,1705411530
247,aripuana,-9.1667,-60.6333,30.06,60,69,1.08,BR,1705411645
248,newman,37.3138,-121.0208,9.47,92,82,0.45,US,1705411646
249,reftinskiy,57.0901,61.6769,-10.33,82,100,4.1,RU,1705411648
250,conde,-7.2597,-34.9075,29.7,58,40,5.66,BR,1705411649
251,mhamid,29.82,-5.72,22.55,11,100,5.07,MA,1705411651
252,kafin hausa,12.2375,9.908,28.97,10,7,5.41,NG,1705411652
253,invercargill,-46.4,168.35,11.12,86,6,2.54,NZ,1705411653
254,pudozh,61.8099,36.5345,-5.59,95,100,3.58,RU,1705411655
255,novyy urgal,51.0736,132.5642,-20.66,97,100,0.84,RU,1705411656
256,peronne,49.9333,2.9333,3.32,65,0,2.06,FR,1705411558
257,vila franca do campo,37.7167,-25.4333,15.23,82,87,5.2,PT,1705411659
258,stolac,43.0844,17.9575,11.88,66,10,1.95,BA,1705411660
259,karema,-6.8205,30.4389,25.64,68,82,2.45,TZ,1705411647
260,qianzhou,28.3167,109.7167,6.85,89,100,1.16,CN,1705411663
261,north bend,43.4065,-124.2243,4.48,93,100,4.63,US,1705411623
262,nova sintra,14.8667,-24.7167,22.2,69,100,5.25,CV,1705411666
263,atafu village,-8.5421,-172.5159,28.33,77,100,3.82,TK,1705411667
264,aitape,-3.1374,142.3475,25.62,90,100,2.73,PG,1705411669
265,paradip garh,20.3167,86.6167,21.1,83,34,5.35,IN,1705411670
266,happy valley-goose bay,53.3168,-60.3315,-15.83,66,20,6.17,CA,1705411672
267,naze,28.3667,129.4833,15.51,59,10,5.96,JP,1705411673
268,illapel,-31.6308,-71.1653,22.23,42,0,1.15,CL,1705411675
269,iskateley,67.6803,53.1512,-26.66,98,86,3.58,RU,1705411676
270,buala,-8.145,159.5921,27.74,84,100,2.39,SB,1705411526
271,haiku-pauwela,20.9219,-156.3051,23.43,85,75,9.26,US,1705411679
272,luena,-11.7833,19.9167,22.02,79,80,4.76,AO,1705411680
273,cuyo,10.8525,121.0086,26.86,78,98,13.3,PH,1705411682
274,palikir - national government center,6.9248,158.1611,27.41,78,75,2.06,FM,1705411683
275,masterton,-40.9597,175.6575,14.94,90,4,2.23,NZ,1705411684
276,magadi,12.9667,77.2333,26.53,36,1,0.78,IN,1705411686
277,ad darb,17.7229,42.2526,29.06,59,70,6.62,SA,1705411689
278,gadzhiyevo,69.2551,33.3362,-14.43,94,100,4.58,RU,1705411690
279,chunskiy,56.0815,99.6342,-24.79,100,96,1.38,RU,1705411691
280,fort mcmurray,56.7268,-111.381,-33.27,68,0,2.57,CA,1705411583
281,geraldton,-28.7667,114.6,23.23,78,100,4.63,AU,1705411694
282,deqen,29.9618,90.7188,-4.55,78,100,2.65,CN,1705411695
283,brasileia,-11.0161,-68.7481,26.25,94,75,1.54,BR,1705411697
284,laguna de perlas,12.3429,-83.6712,28.05,89,42,4.17,NI,1705411698
285,yanam,16.7333,82.2167,22.41,80,97,2.47,IN,1705411700
286,aras-asan,8.8908,126.3033,25.74,86,26,5.64,PH,1705411701
287,noyabrsk,63.1994,75.4507,-18.2,95,99,4.02,RU,1705411703
288,qaqortoq,60.7167,-46.0333,-4.3,78,100,2.83,GL,1705411704
289,rongelap,11.1635,166.8941,26.55,71,100,8.6,MH,1705411706
290,san luis de la loma,17.2706,-100.8939,22.7,78,2,1.59,MX,1705411707
291,salekhard,66.53,66.6019,-37.66,98,69,1.9,RU,1705411709
292,yreka,41.7354,-122.6345,2.39,89,100,5.14,US,1705411661
293,ta`u,-14.2336,-169.5144,26.46,82,100,3.39,AS,1705411718
294,salmas,38.1973,44.7653,2.74,60,96,1.67,IR,1705411719
295,pisco,-13.7,-76.2167,23.03,83,0,2.57,PE,1705411720
296,murashi,59.3999,48.9615,-5.95,94,100,4.96,RU,1705411722
297,semenov,56.7875,44.493,-2.68,96,100,3.81,RU,1705411723
298,pokrovsk,48.282,37.1758,0.16,98,100,6.35,UA,1705411725
299,piacabucu,-10.4056,-36.4344,29.78,56,1,4.97,BR,1705411726
300,bubaque,11.2833,-15.8333,25.29,80,12,1.35,GW,1705411727
301,cam ranh,11.9214,109.1591,25.98,69,40,4.63,VN,1705411729
302,mugia,43.1041,-9.2179,16.62,91,100,13.51,ES,1705411730
303,crucecita,-28.95,-58.9833,31.0,64,0,6.4,AR,1705411732
304,dapa,9.7594,126.0531,26.67,80,81,7.32,PH,1705411733
305,egilsstadir,65.2653,-14.3948,-7.05,86,75,8.75,IS,1705411734
306,ozark,37.0209,-93.206,-18.68,81,65,1.34,US,1705411736
307,mweka,-4.85,21.5667,29.89,51,76,2.53,CD,1705411737
308,kruisfontein,-34.0033,24.7314,24.38,55,71,6.1,ZA,1705411739
309,kotovo,50.3211,44.8012,0.97,86,100,10.84,RU,1705411740
310,pionerskiy,54.9508,20.2275,-3.25,55,100,10.94,RU,1705411742
311,ketchikan,55.3422,-131.6461,0.26,93,100,0.0,US,1705411743
312,rio gallegos,-51.6226,-69.2181,12.03,50,20,4.63,AR,1705411745
313,novodvinsk,64.4165,40.8122,-14.14,94,100,4.15,RU,1705411526
314,sirte,31.2089,16.5887,20.08,36,1,6.62,LY,1705411747
315,velingara,13.15,-14.1167,36.0,20,12,0.92,SN,1705411754
316,bafoulabe,13.8065,-10.8321,35.95,6,0,3.36,ML,1705411755
317,vasil'yevo,55.836,48.6582,-7.63,91,100,8.59,RU,1705411757
318,kawambwa,-9.7915,29.0791,20.77,91,98,3.53,ZM,1705411758
319,mossendjo,-2.9506,12.7261,26.91,71,80,2.4,CG,1705411760
320,thunder bay,48.4001,-89.3168,-22.01,70,40,3.6,CA,1705411577
321,maintirano,-18.0667,44.0167,27.26,81,100,4.19,MG,1705411762
322,kapa'a,22.0752,-159.319,23.99,74,75,6.17,US,1705411764
323,eraan,9.0629,117.7016,25.37,80,100,2.44,PH,1705411765
324,nar'yan-mar,67.6713,53.087,-26.61,98,87,3.58,RU,1705411766
325,ust-nera,64.5667,143.2,-41.15,100,68,1.89,RU,1705411768
326,kaiapoi,-43.3783,172.6401,16.71,83,10,5.14,NZ,1705411769
327,veraval,20.9,70.3667,22.6,63,80,5.81,IN,1705411771
328,saldanha,-33.0117,17.9442,29.03,75,25,12.25,ZA,1705411772
329,san antonio de pale,-1.4014,5.6325,27.05,80,67,3.84,GQ,1705411774
330,papao,-17.75,-149.55,26.82,85,100,10.79,PF,1705411775
331,beira,-19.8436,34.8389,34.05,59,20,6.17,MZ,1705411777
332,kalifornsky,60.4183,-151.29,-9.22,90,0,2.06,US,1705411778
333,maamba,-17.3667,27.15,22.51,91,100,1.66,ZM,1705411779
334,adra,36.7496,-3.0206,19.07,53,73,3.91,ES,1705411781
335,mersing,2.4312,103.8405,25.95,94,40,6.69,MY,1705411782
336,robbah,33.2797,6.9098,21.8,20,100,3.02,DZ,1705411783
337,colonia,50.9333,6.95,3.36,64,40,5.14,DE,1705411785
338,rio claro,-22.4114,-47.5614,26.89,63,55,2.51,BR,1705411786
339,yuzhno-kurilsk,44.0306,145.8556,-7.01,75,100,9.53,RU,1705411788
340,takoradi,4.8845,-1.7554,31.12,58,2,3.29,GH,1705411789
341,hasaki,35.7333,140.8333,-3.78,43,2,5.68,JP,1705411791
342,margate,51.3813,1.3862,4.83,55,11,3.13,GB,1705411792
343,jackson,42.4165,-122.8345,1.67,79,58,1.2,US,1705411608
344,vadso,70.0744,29.7487,-8.91,79,75,3.09,NO,1705411795
345,santa rosa misiones,-26.8667,-56.85,30.48,63,0,5.02,PY,1705411797
346,khorixas,-20.3667,14.9667,29.21,22,18,7.01,NA,1705411798
347,luderitz,-26.6481,15.1594,25.07,58,0,14.74,NA,1705411800
348,uyuni,-20.4597,-66.825,16.3,44,49,1.46,BO,1705411801
349,sokol,59.4617,40.1206,-2.79,93,100,4.36,RU,1705411803
350,constantia,44.1833,28.65,6.5,52,12,5.83,RO,1705411805
351,ad-damazin,11.7891,34.3592,32.86,24,7,5.42,SD,1705411807
352,guerrero negro,27.9769,-114.0611,14.47,88,28,2.16,MX,1705411509
353,melfi,40.9965,15.6514,13.61,66,64,4.46,IT,1705411812
354,pokhara,28.2333,83.9833,11.61,49,12,2.53,NP,1705411815
355,severobaykal'sk,55.65,109.3167,-21.39,88,18,3.63,RU,1705411816
356,port alfred,-33.5906,26.891,23.99,78,97,1.79,ZA,1705411820
357,andergrove,-21.0833,149.1833,27.03,85,100,6.06,AU,1705411821
358,santana,-0.0583,-51.1817,28.1,83,75,1.54,BR,1705411823
359,floro,61.5996,5.0328,-2.02,93,100,5.14,NO,1705411826
360,boende,-0.2167,20.8667,38.9,13,46,1.67,CD,1705411827
